,date,team,against,home,goalie,dec,SA,SV,TOI
330,2016-10-22,BOS,MTL,h,Anton Khudobin,L,29,25,57:16
331,2016-10-22,MTL,BOS,@,Carey Price,W,21,19,60:00
332,2016-10-25,BOS,MIN,h,Malcolm Subban,L,16,13,30:36
333,2016-10-25,MIN,BOS,@,Devan Dubnyk,W,27,27,60:00
334,2016-11-05,BOS,NYR,h,Tuukka Rask,L,24,19,59:47
335,2016-11-05,NYR,BOS,@,Antti Raanta,W,37,35,60:00
336,2016-11-07,BOS,BUF,h,Tuukka Rask,W,32,32,59:54
337,2016-11-07,BUF,BOS,@,Robin Lehner,L,42,38,60:00
338,2016-11-10,BOS,CBJ,h,Tuukka Rask,W,17,15,60:00
339,2016-11-10,CBJ,BOS,@,Curtis McElhinney,,23,22,47:12
340,2016-11-19,BOS,WPG,h,Tuukka Rask,W,12,11,59:46
341,2016-11-19,WPG,BOS,@,Michael Hutchinson,L,38,34,60:00
342,2016-11-22,BOS,STL,h,Tuukka Rask,L,27,24,58:58
343,2016-11-22,STL,BOS,@,Jake Allen,W,41,39,60:00
344,2016-11-25,BOS,CGY,h,Anton Khudobin,L,29,27,58:45
345,2016-11-25,CGY,BOS,@,Chad Johnson,W,36,35,60:00
346,2016-11-27,BOS,TBL,h,Tuukka Rask,W,31,30,59:59
347,2016-11-27,TBL,BOS,@,Ben Bishop,L,30,26,60:00
348,2016-12-01,BOS,CAR,h,Anton Khudobin,W,30,29,64:19
349,2016-12-01,CAR,BOS,@,Cam Ward,O,35,34,65:00
350,2016-12-05,BOS,FLA,h,Tuukka Rask,W,30,27,61:17
351,2016-12-05,FLA,BOS,@,Roberto Luongo,O,36,32,61:01
352,2016-12-08,BOS,COL,h,Anton Khudobin,L,22,18,58:04
353,2016-12-08,COL,BOS,@,Calvin Pickard,W,31,29,59:39
354,2016-12-10,BOS,TOR,h,Tuukka Rask,L,19,16,59:23
355,2016-12-10,TOR,BOS,@,Frederik Andersen,W,33,32,60:00
356,2016-12-15,BOS,ANA,h,Anton Khudobin,L,27,23,57:57
357,2016-12-15,ANA,BOS,@,Jonathan Bernier,W,34,31,60:00
358,2016-12-18,BOS,LAK,h,Tuukka Rask,W,18,18,60:00
359,2016-12-18,LAK,BOS,@,Peter Budaj,L,30,29,59:00
360,2016-12-20,BOS,NYI,h,Anton Khudobin,,16,15,31:49
361,2016-12-20,NYI,BOS,@,Thomas Greiss,W,50,48,60:00
362,2016-12-31,BOS,BUF,h,Tuukka Rask,W,27,26,59:43
363,2016-12-31,BUF,BOS,@,Robin Lehner,L,28,25,58:52
364,2017-01-05,BOS,EDM,h,Tuukka Rask,L,25,21,58:40
365,2017-01-05,EDM,BOS,@,Cam Talbot,W,36,33,60:00
366,2017-01-14,BOS,PHI,h,Tuukka Rask,W,24,21,60:00
367,2017-01-14,PHI,BOS,@,Michal Neuvirth,L,38,33,59:14
